report_id,country,region,bacterial_species,antibiotic,year,resistance_rate,mortality_rate,infection_type,sample_size
1,Nigeria,Africa,Pseudomonas aeruginosa,Meropenem,2022,48.2,11.7,community,300
2,India,Southeast Asia,Pseudomonas aeruginosa,Ciprofloxacin,2023,45.0,12.9,hospital,300
3,France,Europe,Klebsiella pneumoniae,Ciprofloxacin,2021,33.6,9.9,community,200
4,Nigeria,Africa,Escherichia coli,Amoxicillin,2021,35.2,7.3,hospital,300
5,USA,North America,Escherichia coli,Amoxicillin,2023,28.7,4.2,community,150
6,Brazil,South America,Staphylococcus aureus,Amoxicillin,2019,34.7,9.0,hospital,300
7,Brazil,South America,Escherichia coli,Ceftriaxone,2019,30.4,9.1,community,100
8,India,Southeast Asia,Klebsiella pneumoniae,Amoxicillin,2022,66.5,10.5,hospital,200
9,India,Southeast Asia,Klebsiella pneumoniae,Ciprofloxacin,2022,47.9,9.8,hospital,100
10,Japan,East Asia,Staphylococcus aureus,Ceftriaxone,2023,33.3,7.7,community,300
11,India,Southeast Asia,Staphylococcus aureus,Amoxicillin,2021,50.0,6.0,community,100
12,China,East Asia,Klebsiella pneumoniae,Vancomycin,2023,34.4,8.8,hospital,150
13,China,East Asia,Escherichia coli,Vancomycin,2020,38.1,2.8,community,100
14,Australia,Oceania,Staphylococcus aureus,Meropenem,2021,14.5,0.5,community,100
15,South Africa,Africa,Klebsiella pneumoniae,Ciprofloxacin,2023,33.6,11.0,hospital,300
16,India,Southeast Asia,Pseudomonas aeruginosa,Amoxicillin,2022,78.3,10.7,community,300
17,South Africa,Africa,Staphylococcus aureus,Meropenem,2019,32.0,2.5,hospital,200
18,Nigeria,Africa,Staphylococcus aureus,Vancomycin,2019,49.4,5.0,hospital,150
19,China,East Asia,Pseudomonas aeruginosa,Amoxicillin,2022,50.5,12.8,community,300
20,Brazil,South America,Escherichia coli,Ceftriaxone,2021,31.9,2.6,community,250
21,India,Southeast Asia,Staphylococcus aureus,Amoxicillin,2022,63.6,14.8,community,200
22,Nigeria,Africa,Escherichia coli,Amoxicillin,2019,42.7,10.4,hospital,200
23,Brazil,South America,Acinetobacter baumannii,Ciprofloxacin,2020,37.8,6.4,community,250
24,France,Europe,Staphylococcus aureus,Meropenem,2023,24.4,4.7,hospital,300
25,China,East Asia,Klebsiella pneumoniae,Ceftriaxone,2020,39.8,6.1,community,300
26,Australia,Oceania,Staphylococcus aureus,Amoxicillin,2021,18.6,0.5,hospital,250
27,Nigeria,Africa,Escherichia coli,Vancomycin,2020,46.6,12.6,hospital,200
28,France,Europe,Escherichia coli,Vancomycin,2022,21.2,1.5,hospital,150
29,South Africa,Africa,Acinetobacter baumannii,Meropenem,2020,45.0,8.9,hospital,100
30,South Africa,Africa,Acinetobacter baumannii,Amoxicillin,2023,68.7,15.4,hospital,150
31,China,East Asia,Pseudomonas aeruginosa,Ciprofloxacin,2023,34.5,5.3,hospital,200
32,France,Europe,Escherichia coli,Ciprofloxacin,2023,23.7,6.8,community,250
33,France,Europe,Pseudomonas aeruginosa,Vancomycin,2023,29.8,7.3,community,150
34,France,Europe,Acinetobacter baumannii,Amoxicillin,2019,24.9,5.0,community,100
35,France,Europe,Escherichia coli,Ceftriaxone,2019,15.8,0.5,community,300
36,France,Europe,Klebsiella pneumoniae,Amoxicillin,2019,15.3,0.5,hospital,150
37,India,Southeast Asia,Escherichia coli,Ciprofloxacin,2018,48.1,6.2,community,150
38,China,East Asia,Klebsiella pneumoniae,Ciprofloxacin,2019,36.9,11.6,hospital,100
